ip.src,ip.dst,tcp.len,tcp.time_delta,tcp.flags,mqtt.msgtype,mqtt.msgid,mqtt.qos,mqtt.dupflag,mqtt.len,mqtt.kalive,mqtt.conack.val,mqtt.conflag.passwd,mqtt.retain,timestamp
10.0.0.99,10.0.0.10,29936,0.003017610,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.384194
10.0.0.99,10.0.0.10,13584,0.002492135,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.387452
10.0.0.99,10.0.0.10,2800,0.001131268,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.388460
10.0.0.99,10.0.0.10,41992,0.000144006,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.394447
10.0.0.99,10.0.0.10,25592,0.003501418,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.399932
10.0.0.99,10.0.0.10,13832,0.002130113,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.403709
10.0.0.99,10.0.0.10,2552,0.001120689,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.405030
10.0.0.99,10.0.0.10,40544,0.000008649,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.412075
10.0.0.99,10.0.0.10,27040,0.003268848,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.417645
10.0.0.99,10.0.0.10,13920,0.002229163,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.420813
10.0.0.99,10.0.0.10,2464,0.001150668,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.422106
10.0.0.99,10.0.0.10,64000,0.000015297,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.437396
10.0.0.99,10.0.0.10,19456,0.005230169,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.443455
10.0.0.99,10.0.0.10,34752,0.000014444,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.450364
10.0.0.99,10.0.0.10,32832,0.002791239,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.456635
10.0.0.99,10.0.0.10,13248,0.002707260,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.459808
10.0.0.99,10.0.0.10,3136,0.001078121,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.460681
10.0.0.99,10.0.0.10,1448,0.000232590,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.460951
10.0.0.99,10.0.0.10,1448,0.000003587,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.461218
10.0.0.99,10.0.0.10,1448,0.000003578,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.461614
10.0.0.99,10.0.0.10,1448,0.000001163,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.461954
10.0.0.99,10.0.0.10,1448,0.000002406,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.462283
10.0.0.99,10.0.0.10,1448,0.000001183,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.462534
10.0.0.99,10.0.0.10,1448,0.000002210,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.462819
10.0.0.99,10.0.0.10,1448,0.000001142,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.463080
10.0.0.99,10.0.0.10,1448,0.000002346,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.463341
10.0.0.99,10.0.0.10,1448,0.000001111,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.463645
10.0.0.99,10.0.0.10,1448,0.000002217,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.463910
10.0.0.99,10.0.0.10,1448,0.000001151,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.464171
10.0.0.99,10.0.0.10,1448,0.000002394,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.464431
10.0.0.99,10.0.0.10,1448,0.000001128,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.464690
10.0.0.99,10.0.0.10,1448,0.000002192,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.465012
10.0.0.99,10.0.0.10,1448,0.000001267,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.465326
10.0.0.99,10.0.0.10,1448,0.000002236,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.465752
10.0.0.99,10.0.0.10,1448,0.000001161,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.465772
10.0.0.99,10.0.0.10,1448,0.000002219,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.465950
10.0.0.99,10.0.0.10,1448,0.000001127,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.466192
10.0.0.99,10.0.0.10,1448,0.000002313,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.466441
10.0.0.99,10.0.0.10,1448,0.000001118,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.466695
10.0.0.99,10.0.0.10,1448,0.000002232,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.466942
10.0.0.99,10.0.0.10,1448,0.000001108,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.467201
10.0.0.99,10.0.0.10,1448,0.000002217,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.467606
